ContractID,Team,Person,ContractEnd,ContractStart,Salary
2FQS-5287,EZ-769,012-ZU3-400,2023-10-25,2021-10-07,29246
C9L9-8558,ZK-987,200-GA5-049,2023-10-13,2019-10-20,47445
4HOG-5977,YZ-552,192-JU6-441,2023-08-20,2021-12-24,74309
0ZNU-8906,KW-724,872-RX5-279,2024-04-09,2021-06-28,72552
QGP1-5092,TJ-663,594-EJ5-595,2022-07-27,2021-02-12,63436
BLO3-5950,PN-497,258-AM1-124,2022-10-28,2019-09-20,87139
JNN4-7735,QL-031,722-OC1-212,2022-07-02,2019-06-23,68839
0VO4-5826,YZ-552,468-YG0-237,2023-10-18,2020-10-15,47688
0VXD-4629,WI-704,804-TQ8-265,2024-05-12,2019-11-17,69051
2LLH-7272,OF-955,744-UC5-294,2024-11-12,2020-04-21,48934
1LN3-1764,FO-623,133-RY3-592,2022-08-01,2021-08-23,81079
7PZR-1262,FO-623,558-JQ9-618,2023-11-16,2019-09-06,26733
U0ZH-6773,JG-818,159-YG8-249,2022-06-15,2021-03-17,11541
WS6A-3827,KG-943,953-QW3-358,2023-02-23,2022-01-16,44980
RZKJ-3633,PN-497,963-AI0-699,2024-01-19,2021-12-01,58587
2QSZ-0660,KW-724,539-HX8-812,2024-03-25,2019-09-15,32240
7HI0-2541,PN-497,355-OQ8-095,2023-01-14,2020-01-31,66792
GOYP-5885,KG-943,069-NT1-373,2024-12-19,2020-10-09,66813
Q1HG-6952,RJ-217,741-JR1-170,2024-10-11,2021-08-25,63770
VHYA-6191,PN-497,044-WA8-698,2024-02-04,2021-10-24,17332
VVER-8620,KG-943,243-DF2-146,2023-06-03,2020-05-14,21263
UNKH-3216,NX-742,082-QM7-074,2023-02-20,2020-07-11,17319
8ENN-5588,JG-818,120-TI6-067,2023-02-26,2020-06-04,19107
IOR6-0836,QL-031,028-DO7-673,2025-03-07,2020-06-05,11905
ME7S-2284,OF-955,059-MN3-221,2024-02-15,2020-07-11,21142
H3QO-2174,TJ-663,769-CN5-989,2023-02-22,2022-02-22,59046
CQOC-3838,QL-031,627-QQ3-829,2024-06-29,2019-06-04,67102
14MD-0781,WI-704,103-CX5-828,2024-05-19,2019-12-10,40637
WHNI-5673,PN-497,812-XN4-041,2025-02-05,2020-03-08,24674
GPAR-3248,QL-031,551-QV3-794,2022-07-04,2020-04-08,25101
JPSH-0493,YT-531,525-OA0-067,2022-12-24,2019-06-01,95762
3N9O-2763,QL-031,535-HE1-868,2023-10-07,2020-12-13,61658
0I03-0878,KW-724,327-DU5-540,2025-01-24,2020-03-19,48205
OOXK-6189,FO-623,153-KG8-424,2023-09-11,2021-04-09,18246
EK7Q-6187,QL-031,826-GV2-942,2024-07-14,2021-07-28,70397
DY8A-6309,WI-704,593-YU5-326,2023-02-09,2021-11-08,76442
M8UX-2689,KG-943,832-IX7-797,2023-10-18,2019-07-05,70287
JMOU-3735,RJ-217,384-UE2-094,2022-12-21,2020-07-12,24064
2W3P-9255,YT-531,432-OX3-136,2023-01-20,2020-03-20,98971
40JH-9278,YT-531,152-EI9-519,2025-01-10,2019-08-24,33166
ZTAG-1755,FJ-273,436-PW9-977,2024-09-18,2021-03-05,85629
5VFZ-1503,ZK-987,292-UP5-090,2023-12-27,2019-12-15,72279
3A3Q-3656,YC-315,404-DQ1-490,2025-05-26,2022-05-21,79475
GS2J-4296,YZ-552,910-YR6-460,2024-12-31,2020-02-08,65094
87ZA-6776,KW-724,637-GL2-625,2024-03-06,2021-06-17,98040
VZMD-1771,PN-497,426-BI1-016,2023-07-10,2020-11-21,39211
PMWP-3943,FO-623,825-GM8-781,2023-08-01,2021-02-16,67726
3RMD-9514,NX-742,891-MJ6-927,2025-05-13,2019-10-30,65297
OTBF-3702,NX-742,204-FY0-534,2022-07-09,2019-11-11,94625
B3PH-4454,JG-818,869-TI0-022,2022-09-23,2019-09-08,72612
JVT2-8505,KW-724,701-XY4-752,2023-09-09,2020-08-10,73905
3ZDJ-6566,KW-724,224-LY0-771,2024-03-12,2021-12-02,59509
J2UW-1883,NX-742,360-SO8-715,2024-01-07,2020-02-11,76720
8FI1-9347,KW-724,623-KU3-022,2023-03-20,2020-08-18,44794
IE3C-1302,EZ-769,016-RG4-301,2023-06-21,2021-06-13,16031
MZ43-7063,QL-031,824-TJ0-535,2023-05-27,2021-09-08,17545
3AVX-3876,OF-955,460-ZO5-330,2025-01-26,2020-02-27,60484
DPF7-6383,FO-623,228-VZ3-304,2023-11-08,2019-12-01,55344
LIVI-5966,WI-704,952-MX3-032,2025-01-29,2020-08-02,47738
41Q5-5114,FO-623,914-AK0-458,2022-07-31,2022-02-13,45753
03IH-6110,KG-943,116-OX3-868,2022-12-19,2019-11-23,40485
GWYL-7029,YT-531,352-UD4-696,2023-03-01,2020-02-16,87534
3N2W-9798,KW-724,341-YK7-000,2024-04-02,2021-06-29,96934
7THR-4451,OF-955,600-CX7-347,2024-09-06,2019-10-22,72776
OJVW-1001,FO-623,312-AY7-621,2024-09-01,2021-07-30,12453
7HO4-9978,JG-818,731-TV2-319,2023-03-27,2019-06-13,52189
9IU9-9608,YT-531,586-DE0-357,2023-01-21,2021-05-27,39900
GEL3-2283,RJ-217,745-MH4-613,2023-01-30,2019-07-01,87341
JJHE-7043,PN-497,903-DT2-718,2023-05-29,2020-12-22,73639
5HVY-7169,ZK-987,405-FW6-393,2022-12-27,2020-12-30,60614
0QLP-9523,YZ-552,365-SM6-485,2024-10-03,2019-06-26,99448
SZQC-4360,FJ-273,903-SB6-702,2023-10-02,2020-05-23,55134
Y1DE-2185,NX-742,088-BL3-266,2024-07-03,2020-12-03,51855
6LAR-6400,TJ-663,058-DF5-292,2024-09-10,2021-10-15,41124
02B1-5950,KG-943,552-RR4-694,2024-10-15,2019-11-17,44839
7A82-4527,RJ-217,174-XZ6-336,2024-07-23,2021-11-20,13506
L5AF-7458,YT-531,607-BC8-667,2024-03-21,2020-03-27,75169
YLQP-9956,NX-742,658-ND8-204,2024-08-14,2021-03-19,48605
QEYY-1240,OF-955,440-ET2-007,2023-05-24,2021-08-07,19961
2TGF-6053,RJ-217,062-CS4-959,2023-03-29,2020-06-24,77431
DD3Q-9743,FJ-273,539-NL2-025,2022-07-06,2022-04-07,64083
NB9B-9731,OF-955,733-VL6-624,2022-10-26,2020-12-05,31745
0JY8-4777,JG-818,953-GL2-590,2022-12-12,2020-04-22,86860
A0Q0-2376,YZ-552,642-MJ2-853,2024-08-26,2021-12-03,34162
MHVY-3777,FO-623,218-ZN7-080,2024-08-01,2020-05-25,48099
1YYM-7955,WI-704,395-NV3-151,2022-10-30,2020-02-24,90832
AS8F-0936,EZ-769,350-YR1-055,2022-12-07,2020-09-03,87873
F2KZ-0830,NX-742,701-BP4-630,2024-05-04,2022-01-12,52259
CRSK-1489,EZ-769,136-GD8-793,2024-05-25,2021-09-20,58186
VS8Z-2556,OF-955,368-IH9-819,2025-02-13,2020-09-19,54045
Y54S-2086,TJ-663,534-SJ7-875,2022-09-08,2021-10-11,26857
Y0KO-7405,PY-241,411-AN0-577,2023-01-04,2022-01-20,23712
XP3A-2627,YC-315,921-EM9-358,2023-01-30,2020-06-03,80623
Y2OK-3654,OF-955,859-LT3-351,2023-10-08,2021-09-15,23169
G9ML-0365,TJ-663,438-DC3-279,2022-06-21,2020-08-27,36391
C8OC-7814,JG-818,714-WD6-521,2023-09-17,2020-04-11,46283
S8QS-2129,YC-315,448-EB2-841,2023-11-22,2020-06-16,65869
4DVC-9128,QL-031,833-JE6-498,2022-09-04,2020-01-19,44485
O0AR-3470,TJ-663,827-GV7-975,2023-01-26,2020-07-08,18584
7HJK-2733,PY-241,681-UB5-864,2023-08-14,2021-05-26,56663
1NXQ-6872,YZ-552,800-PS1-664,2025-02-10,2021-03-20,43826
P6J0-9875,YC-315,006-QQ8-675,2024-09-16,2022-02-15,42853
S4YL-3265,KG-943,609-NV5-568,2022-08-10,2020-10-23,21025
X7SH-2929,JG-818,402-PA0-919,2024-11-13,2021-02-09,42285
C0YQ-7626,TJ-663,732-SP3-196,2023-05-12,2020-07-26,83810
MI6C-5436,FO-623,263-AM9-640,2024-04-08,2020-06-15,24207
YM3W-9799,YZ-552,814-UP6-154,2025-01-30,2020-02-13,75405
Q252-9998,WI-704,616-OX0-391,2023-07-29,2022-04-16,38331
TD8R-1551,WI-704,045-WC0-663,2024-03-11,2020-06-10,98556
MTFZ-7701,FO-623,349-ZS4-480,2023-08-05,2020-06-22,85443
LGZL-4392,FO-623,389-TV3-712,2024-11-28,2020-06-11,86772
LG1Z-2662,YC-315,986-AC2-192,2022-09-15,2019-12-31,14389
JBJR-8112,OF-955,746-UX6-775,2023-11-12,2020-06-24,63527
PZUF-6316,NX-742,522-FB0-823,2023-03-30,2020-10-06,91322
MQ3P-2594,WI-704,092-ZC7-872,2022-11-30,2022-03-22,14269
RJ2G-5136,YC-315,532-UJ7-423,2025-01-19,2022-03-03,24178
34K9-2340,EZ-769,485-WG3-142,2022-10-28,2020-07-20,87493
7BLJ-0645,KG-943,533-DQ0-800,2024-02-15,2022-05-16,46519
0100-9802,YT-531,926-DF2-236,2023-08-10,2019-11-01,69862
ENUI-8878,YZ-552,191-HV7-763,2023-11-12,2019-09-11,40873
AIZI-4650,OF-955,040-SB7-452,2023-11-04,2020-09-06,38640
W299-5507,YZ-552,998-GJ1-000,2023-07-09,2022-05-16,89900
HIGL-8249,KG-943,148-PI6-650,2025-05-24,2020-08-16,18734
U19N-9560,EZ-769,015-BC0-803,2024-07-09,2020-07-20,49448
TUA0-7976,QL-031,113-GZ4-130,2024-12-13,2020-01-06,44006
OTTN-9569,OF-955,685-WC9-242,2023-03-20,2022-05-15,86373
3HBP-0838,FJ-273,822-DT3-551,2022-06-19,2021-01-27,25076
CLK1-6066,RJ-217,695-RR6-086,2023-07-01,2021-02-14,93654
6STI-4743,FO-623,215-GR9-117,2023-08-15,2019-06-09,63628
2FBW-4088,TJ-663,446-EF8-853,2024-09-26,2022-01-24,79563
5M7J-8198,PN-497,151-XY5-350,2023-02-12,2020-04-26,37465
A3I7-6760,FO-623,025-QD3-620,2023-03-15,2020-03-25,68288
MKRW-0279,QL-031,989-RA5-873,2023-10-25,2021-04-12,69416
JZNC-0179,YT-531,720-LV5-882,2024-09-23,2020-12-25,74028
P2GO-8087,WI-704,150-SD6-747,2025-04-09,2021-01-20,14090
O7NX-8835,RJ-217,455-VI3-553,2024-04-22,2020-07-30,31196
574R-4516,RJ-217,925-OL3-134,2025-04-18,2021-07-08,55881
0TYU-4517,QL-031,943-RR0-343,2023-02-03,2020-08-23,22514
